id_sleeper,id_name,id_pos,adp_adp,adp_rank,adp_posrank,draft_year,draft_round
1373,Geno Smith,QB,114.09,115,28,2013,2
11655,Tyrone Tracy,RB,114.34,116,31,2024,5
4033,David Njoku,TE,115.06,117,12,2017,1
11637,Keon Coleman,WR,117.16,118,47,2024,2
9753,Zach Charbonnet,RB,120.98,119,32,2023,2
12483,Jack Bech,WR,121.11,120,48,2025,
421,Matthew Stafford,QB,121.94,121,29,2009,1
5967,Tony Pollard,RB,122.24,122,33,2019,4
4144,Jonnu Smith,TE,124.58,123,13,2017,3
6819,Michael Pittman Jr.,WR,124.72,124,49,2020,2
8131,Isaiah Likely,TE,126.37,125,14,2022,4
5947,Jakobi Meyers,WR,126.8,126,50,2019,
11589,Trey Benson,RB,127.25,127,34,2024,3
8110,Jake Ferguson,TE,128.16,128,15,2022,4
12490,Bhayshul Tuten,RB,128.31,129,35,2025,
5872,Deebo Samuel,WR,129.82,130,51,2019,2
4199,Aaron Jones,RB,130.88,131,36,2017,5
4981,Calvin Ridley,WR,131.45,132,52,2018,1
1466,Travis Kelce,TE,132.87,133,16,2013,3
12510,Jalen Milroe,QB,133.78,134,30,2025,
4066,Evan Engram,TE,135.96,135,17,2017,1
7528,Najee Harris,RB,136.62,136,37,2021,1
7049,Jauan Jennings,WR,136.84,137,53,2020,7
4039,Cooper Kupp,WR,137.85,138,54,2017,3
11618,Jalen McMillan,WR,138.36,139,55,2024,3
12498,Mason Taylor,TE,140.99,140,18,2025,
8228,Jaylen Warren,RB,142.26,141,38,2022,
9508,Tyjae Spears,RB,142.4,142,39,2023,3
2449,Stefon Diggs,WR,143.37,143,56,2015,5
7600,Pat Freiermuth,TE,148.11,144,19,2021,2
12536,Jaylin Noel,WR,149.11,145,57,2025,
7611,Rhamondre Stevenson,RB,149.68,146,40,2021,4
12524,Shedeur Sanders,QB,149.75,147,31,2025,
11626,Xavier Legette,WR,149.9,148,58,2024,1
9494,Marvin Mims,WR,151.47,149,59,2023,2
8111,Cade Otton,TE,151.5,150,20,2022,4
8676,Rashid Shaheed,WR,151.75,151,60,2022,
7090,Darnell Mooney,WR,152.05,152,61,2020,5
7588,Javonte Williams,RB,152.29,153,41,2021,2
12545,Tyler Shough,QB,152.98,154,32,2025,
12457,Jaydon Blue,RB,153.31,155,42,2025,
12547,Kyle Williams,WR,157.19,156,62,2025,
9225,Tank Bigsby,RB,157.5,157,43,2023,3
8136,Rachaad White,RB,158.76,158,44,2022,3
12469,Dylan Sampson,RB,162.29,159,45,2025,
12487,Terrance Ferguson,TE,162.68,160,21,2025,
8408,Jordan Mason,RB,162.97,161,46,2022,
12521,Elijah Arroyo,TE,165.21,162,22,2025,
5022,Dallas Goedert,TE,166.57,163,23,2018,2
11576,Braelon Allen,RB,168.25,164,47,2024,4
12476,Devin Neal,RB,168.7,165,48,2025,
7571,Rashod Bateman,WR,169.15,166,63,2021,1
1234,Russell Wilson,QB,169.76,167,33,2012,3
10444,Cedric Tillman,WR,170.12,168,64,2023,3
11646,Jalen Coker,WR,173.35,169,65,,
11651,Isaac Guerendo,RB,174.25,170,49,2024,4
6806,J.K. Dobbins,RB,175.67,171,50,2020,2
12505,Jalen Royals,WR,177.48,172,66,2025,
11586,Blake Corum,RB,178.09,173,51,2024,3
12506,Harold Fannin,TE,178.19,174,24,2025,
12499,Elic Ayomanor,WR,178.2,175,67,2025,
11600,Ja'Tavion Sanders,TE,178.4,176,25,2024,4
8126,Wan'Dale Robinson,WR,180.46,177,68,2022,2
9480,Brenton Strange,TE,181.55,178,26,2023,2
11575,Ray Davis,RB,182.2,179,52,2024,4
11643,Jaylen Wright,RB,182.72,180,53,2024,4
11596,Ben Sinnott,TE,183.05,181,27,2024,2
11583,Jonathon Brooks,RB,183.43,182,54,2024,2
5848,Marquise Brown,WR,183.92,183,69,2019,1
9754,Quentin Johnston,WR,184.59,184,70,2023,1
4950,Christian Kirk,WR,186.05,185,71,2018,2
9502,Nathaniel Dell,WR,187.6,186,72,2023,3
11625,Adonai Mitchell,WR,187.72,187,73,2024,2
8132,Tyler Allgeier,RB,189.58,188,55,2022,5
12495,Ollie Gordon,RB,191.1,189,56,2025,
7021,Rico Dowdle,RB,191.36,190,57,2020,
6826,Cole Kmet,TE,196.44,191,28,2020,2
8121,Romeo Doubs,WR,196.77,192,74,2022,4
12471,DJ Giddens,RB,197.55,193,58,2025,
12511,Will Howard,QB,197.79,194,34,2025,
11597,Theo Johnson,TE,198.38,195,29,2024,4
12492,Pat Bryant,WR,201.08,196,75,2025,
8210,Chigoziem Okonkwo,TE,201.36,197,30,2022,4
11581,MarShawn Lloyd,RB,201.37,198,59,2024,3
96,Aaron Rodgers,QB,201.42,199,35,2005,1
9501,Demario Douglas,WR,202.79,200,76,2023,6
2028,Derek Carr,QB,203.52,201,36,2014,2
11569,Jarquez Hunter,RB,206.24,202,60,2024,
12467,Jordan James,RB,207.44,203,61,2025,
5870,Daniel Jones,QB,207.48,204,37,2019,1
8143,Jerome Ford,RB,207.58,205,62,2022,5
3214,Hunter Henry,TE,208.96,206,31,2016,2
11627,Troy Franklin,WR,210.91,207,77,2024,4
12474,Woody Marks,RB,211.96,208,63,2024,
4993,Mike Gesicki,TE,213.11,209,32,2018,2
11557,Joe Milton III,QB,213.16,210,38,2024,6
10235,Roschon Johnson,RB,213.57,211,64,2023,4
1166,Kirk Cousins,QB,214.05,212,39,2012,4
4663,Austin Ekeler,RB,214.48,213,65,2017,
12486,Dillon Gabriel,QB,214.71,214,40,2025,
1339,Zach Ertz,TE,215.24,215,33,2013,2
5001,Dalton Schultz,TE,217.86,216,34,2018,4
7828,Noah Gray,TE,218.24,217,35,2021,5
11579,Audric Estime,RB,218.25,218,66,2024,5
2309,Amari Cooper,WR,218.46,219,78,2015,1
12535,Isaac TeSlaa,WR,220.45,220,79,2025,
4988,Nick Chubb,RB,220.52,221,67,2018,2
11630,Roman Wilson,WR,221.7,222,80,2024,3
12500,Quinn Ewers,QB,222.09,223,41,2025,
9486,Dontayvion Wicks,WR,222.89,224,81,2023,5
12455,Brashard Smith,RB,222.91,225,68,2025,
9757,Kendre Miller,RB,224.52,226,69,2023,3
8142,Alec Pierce,WR,224.95,227,82,2022,2
11623,Jordan Whittington,WR,226.62,228,83,2024,6
9511,Keaton Mitchell,RB,228.07,229,70,2023,
12520,Xavier Restrepo,WR,230.31,230,84,2025,
10226,Andrei Iosivas,WR,230.71,231,85,2023,7
1689,Adam Thielen,WR,231.95,232,86,2013,
12534,Kyle Monangai,RB,234.73,233,71,2025,
